Date	Target	AI
20210101	16.0	22.0
20210102	13.0	14.0
20210103	12.0	16.0
20210104	22.0	26.0
20210105	8.0	29.0
20210106	13.0	18.0
20210107	10.0	15.0
20210108	9.0	15.0
20210109	15.0	16.0
20210110	23.0	25.0
20210111	34.0	32.0
20210112	50.0	41.0
20210113	42.0	44.0
20210114	25.0	28.0
20210115	40.0	27.0
20210116	30.0	38.0
20210117	12.0	17.0
20210118	22.0	23.0
20210119	18.0	14.0
20210120	25.0	30.0
20210121	34.0	33.0
20210122	29.0	35.0
20210123	5.0	22.0
20210124	8.0	13.0
20210125	13.0	28.0
20210126	34.0	32.0
20210127	10.0	28.0
20210128	17.0	21.0
20210129	10.0	13.0
20210130	30.0	18.0
20210131	23.0	34.0
20210201	53.0	26.0
20210202	15.0	16.0
20210203	19.0	18.0
20210204	10.0	22.0
20210205	17.0	25.0
20210206	64.0	21.0
20210207	35.0	46.0
20210208	10.0	18.0
20210209	11.0	19.0
20210210	25.0	27.0
20210211	54.0	31.0
20210212	59.0	44.0
20210213	67.0	48.0
20210214	70.0	41.0
20210215	12.0	47.0
20210216	13.0	14.0
20210217	11.0	12.0
20210218	15.0	13.0
20210219	26.0	19.0
20210220	39.0	25.0
20210221	36.0	35.0
20210222	41.0	24.0
20210223	14.0	13.0
20210224	20.0	16.0
20210225	33.0	28.0
20210226	10.0	29.0
20210227	8.0	13.0
20210228	13.0	14.0
20210301	4.0	21.0
20210302	6.0	15.0
20210303	25.0	29.0
20210304	23.0	34.0
20210305	19.0	29.0
20210306	13.0	31.0
20210307	18.0	14.0
20210308	28.0	31.0
20210309	31.0	32.0
20210310	59.0	45.0
20210311	82.0	61.0
20210312	37.0	46.0
20210313	37.0	28.0
20210314	59.0	44.0
20210315	64.0	49.0
20210316	16.0	23.0
20210317	18.0	16.0
20210318	47.0	28.0
20210319	17.0	37.0
20210320	10.0	15.0
20210321	18.0	32.0
20210322	13.0	22.0
20210323	34.0	28.0
20210324	23.0	34.0
20210325	44.0	25.0
20210326	55.0	51.0
20210327	24.0	47.0
20210328	17.0	15.0
20210329	24.0	27.0
20210330	15.0	22.0
20210331	15.0	25.0
