Date	Target	AI
20210101	11.0	24.0
20210102	12.0	18.0
20210103	19.0	19.0
20210104	26.0	28.0
20210105	11.0	26.0
20210106	12.0	22.0
20210107	10.0	18.0
20210108	13.0	19.0
20210109	19.0	21.0
20210110	26.0	28.0
20210111	38.0	31.0
20210112	47.0	38.0
20210113	31.0	37.0
20210114	26.0	28.0
20210115	50.0	31.0
20210116	12.0	30.0
20210117	11.0	20.0
20210118	8.0	24.0
20210119	22.0	18.0
20210120	28.0	31.0
20210121	27.0	32.0
20210122	17.0	33.0
20210123	5.0	23.0
20210124	15.0	16.0
20210125	24.0	31.0
20210126	32.0	33.0
20210127	16.0	26.0
20210128	9.0	23.0
20210129	13.0	15.0
20210130	31.0	19.0
20210131	21.0	32.0
20210201	18.0	27.0
20210202	15.0	16.0
20210203	24.0	18.0
20210204	14.0	20.0
20210205	12.0	24.0
20210206	82.0	20.0
20210207	24.0	31.0
20210208	16.0	17.0
20210209	18.0	18.0
20210210	36.0	24.0
20210211	63.0	24.0
20210212	73.0	35.0
20210213	60.0	38.0
20210214	89.0	34.0
20210215	13.0	33.0
20210216	10.0	14.0
20210217	13.0	13.0
20210218	19.0	14.0
20210219	30.0	19.0
20210220	54.0	23.0
20210221	26.0	34.0
20210222	12.0	24.0
20210223	20.0	15.0
20210224	25.0	18.0
20210225	34.0	29.0
20210226	10.0	30.0
20210227	10.0	16.0
20210228	22.0	17.0
20210301	3.0	22.0
20210302	16.0	19.0
20210303	31.0	31.0
20210304	23.0	36.0
20210305	23.0	34.0
20210306	6.0	32.0
20210307	24.0	19.0
20210308	23.0	33.0
20210309	47.0	35.0
20210310	99.0	41.0
20210311	58.0	53.0
20210312	29.0	43.0
20210313	56.0	32.0
20210314	69.0	41.0
20210315	20.0	45.0
20210316	15.0	30.0
20210317	21.0	24.0
20210318	47.0	35.0
20210319	11.0	39.0
20210320	43.0	21.0
20210321	18.0	33.0
20210322	25.0	25.0
20210323	38.0	33.0
20210324	14.0	36.0
20210325	68.0	29.0
20210326	55.0	43.0
20210327	6.0	47.0
20210328	65.0	21.0
20210329	46.0	35.0
20210330	18.0	30.0
20210331	17.0	31.0
