Date	Target	AI
20210101	12.0	20.0
20210102	14.0	15.0
20210103	22.0	18.0
20210104	15.0	20.0
20210105	13.0	18.0
20210106	11.0	12.0
20210107	10.0	12.0
20210108	14.0	18.0
20210109	22.0	22.0
20210110	32.0	28.0
20210111	46.0	32.0
20210112	46.0	49.0
20210113	29.0	37.0
20210114	34.0	36.0
20210115	35.0	25.0
20210116	13.0	21.0
20210117	17.0	18.0
20210118	15.0	17.0
20210119	25.0	32.0
20210120	30.0	44.0
20210121	31.0	34.0
20210122	8.0	26.0
20210123	9.0	30.0
20210124	16.0	29.0
20210125	28.0	40.0
20210126	18.0	26.0
20210127	16.0	22.0
20210128	10.0	12.0
20210129	23.0	22.0
20210130	27.0	26.0
20210131	37.0	35.0
20210201	16.0	14.0
20210202	19.0	16.0
20210203	14.0	18.0
20210204	16.0	33.0
20210205	42.0	42.0
20210206	53.0	26.0
20210207	16.0	15.0
20210208	14.0	21.0
20210209	23.0	35.0
20210210	50.0	44.0
20210211	65.0	40.0
20210212	70.0	47.0
20210213	70.0	44.0
20210214	37.0	25.0
20210215	12.0	22.0
20210216	11.0	9.0
20210217	14.0	13.0
20210218	24.0	24.0
20210219	38.0	38.0
20210220	44.0	42.0
20210221	27.0	38.0
20210222	14.0	16.0
20210223	21.0	17.0
20210224	32.0	25.0
20210225	21.0	28.0
20210226	10.0	31.0
20210227	13.0	22.0
20210228	10.0	12.0
20210301	6.0	12.0
20210302	23.0	26.0
20210303	27.0	34.0
20210304	23.0	41.0
20210305	18.0	22.0
20210306	14.0	26.0
20210307	26.0	28.0
20210308	30.0	33.0
20210309	66.0	46.0
20210310	88.0	49.0
20210311	47.0	49.0
20210312	36.0	42.0
20210313	58.0	36.0
20210314	62.0	44.0
20210315	16.0	40.0
20210316	18.0	31.0
20210317	41.0	28.0
20210318	28.0	28.0
20210319	13.0	30.0
20210320	32.0	15.0
20210321	16.0	25.0
20210322	30.0	36.0
20210323	27.0	36.0
20210324	32.0	42.0
20210325	68.0	40.0
20210326	34.0	47.0
20210327	14.0	24.0
20210328	50.0	23.0
20210329	27.0	21.0
20210330	18.0	22.0
20210331	14.0	28.0
