Date	Target	AI	CMAQ
20210101	13.0	18.0	13.0
20210102	12.0	18.0	22.0
20210103	22.0	22.0	33.0
20210104	8.0	19.0	14.0
20210105	13.0	16.0	19.0
20210106	10.0	16.0	10.0
20210107	9.0	12.0	10.0
20210108	15.0	15.0	15.0
20210109	23.0	20.0	22.0
20210110	34.0	25.0	30.0
20210111	50.0	50.0	73.0
20210112	42.0	59.0	80.0
20210113	25.0	27.0	20.0
20210114	40.0	57.0	81.0
20210115	30.0	22.0	17.0
20210116	12.0	21.0	20.0
20210117	22.0	23.0	19.0
20210118	18.0	20.0	13.0
20210119	25.0	36.0	45.0
20210120	34.0	29.0	22.0
20210121	29.0	43.0	32.0
20210122	5.0	18.0	4.0
20210123	8.0	23.0	13.0
20210124	13.0	22.0	19.0
20210125	34.0	25.0	19.0
20210126	10.0	18.0	12.0
20210127	17.0	21.0	15.0
20210128	10.0	14.0	11.0
20210129	30.0	25.0	35.0
20210130	23.0	30.0	44.0
20210131	53.0	54.0	70.0
20210201	15.0	13.0	9.0
20210202	19.0	17.0	22.0
20210203	10.0	17.0	17.0
20210204	17.0	19.0	10.0
20210205	64.0	36.0	43.0
20210206	35.0	16.0	12.0
20210207	10.0	17.0	11.0
20210208	11.0	18.0	22.0
20210209	25.0	29.0	36.0
20210210	54.0	56.0	91.0
20210211	59.0	47.0	69.0
20210212	67.0	48.0	63.0
20210213	70.0	43.0	57.0
20210214	12.0	17.0	10.0
20210215	13.0	16.0	9.0
20210216	11.0	11.0	8.0
20210217	15.0	13.0	15.0
20210218	26.0	34.0	58.0
20210219	39.0	32.0	52.0
20210220	36.0	41.0	62.0
20210221	41.0	26.0	27.0
20210222	14.0	14.0	11.0
20210223	20.0	15.0	13.0
20210224	33.0	23.0	25.0
20210225	10.0	18.0	15.0
20210226	8.0	19.0	11.0
20210227	13.0	17.0	13.0
20210228	4.0	14.0	4.0
20210301	6.0	19.0	9.0
20210302	25.0	28.0	33.0
20210303	23.0	21.0	10.0
20210304	19.0	29.0	18.0
20210305	13.0	15.0	10.0
20210306	18.0	25.0	21.0
20210307	28.0	38.0	48.0
20210308	31.0	39.0	50.0
20210309	59.0	44.0	49.0
20210310	82.0	54.0	65.0
20210311	37.0	39.0	17.0
20210312	37.0	38.0	37.0
20210313	59.0	40.0	46.0
20210314	64.0	52.0	65.0
20210315	16.0	26.0	11.0
20210316	18.0	23.0	10.0
20210317	47.0	36.0	39.0
20210318	17.0	22.0	15.0
20210319	10.0	25.0	7.0
20210320	18.0	18.0	6.0
20210321	13.0	23.0	13.0
20210322	34.0	45.0	55.0
20210323	23.0	27.0	18.0
20210324	44.0	47.0	51.0
20210325	55.0	37.0	41.0
20210326	24.0	31.0	6.0
20210327	17.0	39.0	31.0
20210328	24.0	18.0	11.0
20210329	15.0	26.0	23.0
20210330	15.0	24.0	14.0
20210331	11.0	19.0	8.0
