Date	Target	AI	CMAQ
20210101	16.0	15.0	23.0
20210102	13.0	12.0	13.0
20210103	12.0	13.0	23.0
20210104	22.0	19.0	31.0
20210105	8.0	15.0	14.0
20210106	13.0	9.0	17.0
20210107	10.0	10.0	9.0
20210108	9.0	10.0	10.0
20210109	15.0	12.0	14.0
20210110	23.0	15.0	21.0
20210111	34.0	19.0	29.0
20210112	50.0	42.0	48.0
20210113	42.0	67.0	83.0
20210114	25.0	17.0	16.0
20210115	40.0	60.0	102.0
20210116	30.0	27.0	15.0
20210117	12.0	13.0	19.0
20210118	22.0	15.0	18.0
20210119	18.0	16.0	13.0
20210120	25.0	33.0	45.0
20210121	34.0	22.0	16.0
20210122	29.0	30.0	34.0
20210123	5.0	8.0	4.0
20210124	8.0	11.0	17.0
20210125	13.0	20.0	20.0
20210126	34.0	26.0	23.0
20210127	10.0	12.0	11.0
20210128	17.0	20.0	16.0
20210129	10.0	11.0	11.0
20210130	30.0	21.0	30.0
20210131	23.0	32.0	44.0
20210201	53.0	53.0	83.0
20210202	15.0	12.0	8.0
20210203	19.0	18.0	23.0
20210204	10.0	20.0	16.0
20210205	17.0	21.0	13.0
20210206	64.0	32.0	42.0
20210207	35.0	25.0	12.0
20210208	10.0	11.0	10.0
20210209	11.0	21.0	22.0
20210210	25.0	34.0	37.0
20210211	54.0	61.0	88.0
20210212	59.0	64.0	76.0
20210213	67.0	60.0	65.0
20210214	70.0	49.0	64.0
20210215	12.0	36.0	10.0
20210216	13.0	10.0	9.0
20210217	11.0	11.0	7.0
20210218	15.0	20.0	14.0
20210219	26.0	34.0	60.0
20210220	39.0	28.0	36.0
20210221	36.0	53.0	68.0
20210222	41.0	24.0	24.0
20210223	14.0	14.0	10.0
20210224	20.0	16.0	15.0
20210225	33.0	22.0	23.0
20210226	10.0	19.0	16.0
20210227	8.0	12.0	10.0
20210228	13.0	14.0	14.0
20210301	4.0	13.0	4.0
20210302	6.0	11.0	10.0
20210303	25.0	27.0	34.0
20210304	23.0	21.0	12.0
20210305	19.0	25.0	18.0
20210306	13.0	13.0	9.0
20210307	18.0	14.0	20.0
20210308	28.0	36.0	48.0
20210309	31.0	34.0	47.0
20210310	59.0	43.0	37.0
20210311	82.0	71.0	71.0
20210312	37.0	31.0	13.0
20210313	37.0	31.0	42.0
20210314	59.0	58.0	58.0
20210315	64.0	60.0	71.0
20210316	16.0	20.0	11.0
20210317	18.0	18.0	17.0
20210318	47.0	28.0	31.0
20210319	17.0	29.0	17.0
20210320	10.0	14.0	6.0
20210321	18.0	27.0	6.0
20210322	13.0	20.0	15.0
20210323	34.0	39.0	57.0
20210324	23.0	25.0	18.0
20210325	44.0	37.0	48.0
20210326	55.0	54.0	38.0
20210327	24.0	20.0	5.0
20210328	17.0	20.0	27.0
20210329	24.0	23.0	14.0
20210330	15.0	18.0	17.0
20210331	15.0	20.0	16.0
