Date	Target	AI
20210101	12.0	29.0
20210102	22.0	30.0
20210103	8.0	26.0
20210104	13.0	29.0
20210105	10.0	15.0
20210106	9.0	16.0
20210107	15.0	18.0
20210108	23.0	28.0
20210109	34.0	32.0
20210110	50.0	41.0
20210111	42.0	47.0
20210112	25.0	41.0
20210113	40.0	53.0
20210114	30.0	24.0
20210115	12.0	28.0
20210116	22.0	23.0
20210117	18.0	32.0
20210118	25.0	43.0
20210119	34.0	51.0
20210120	29.0	61.0
20210121	5.0	37.0
20210122	8.0	34.0
20210123	13.0	37.0
20210124	34.0	35.0
20210125	10.0	19.0
20210126	17.0	19.0
20210127	10.0	13.0
20210128	30.0	34.0
20210129	23.0	40.0
20210130	53.0	49.0
20210131	15.0	18.0
20210201	19.0	21.0
20210202	10.0	26.0
20210203	17.0	48.0
20210204	64.0	42.0
20210205	35.0	27.0
20210206	10.0	12.0
20210207	11.0	30.0
20210208	25.0	37.0
20210209	54.0	45.0
20210210	59.0	37.0
20210211	67.0	29.0
20210212	70.0	33.0
20210213	12.0	24.0
20210214	13.0	13.0
20210215	11.0	11.0
20210216	15.0	15.0
20210217	26.0	27.0
20210218	39.0	28.0
20210219	36.0	40.0
20210220	41.0	22.0
20210221	14.0	16.0
20210222	20.0	15.0
20210223	33.0	22.0
20210224	10.0	22.0
20210225	8.0	29.0
20210226	13.0	34.0
20210227	4.0	36.0
20210228	6.0	19.0
20210301	25.0	33.0
20210302	23.0	30.0
20210303	19.0	47.0
20210304	13.0	19.0
20210305	18.0	29.0
20210306	28.0	36.0
20210307	31.0	32.0
20210308	59.0	40.0
20210309	82.0	41.0
20210310	37.0	44.0
20210311	37.0	52.0
20210312	59.0	42.0
20210313	64.0	38.0
20210314	16.0	44.0
20210315	18.0	47.0
20210316	47.0	35.0
20210317	17.0	31.0
20210318	10.0	38.0
20210319	18.0	36.0
20210320	13.0	28.0
20210321	34.0	42.0
20210322	23.0	40.0
20210323	44.0	45.0
20210324	55.0	44.0
20210325	24.0	30.0
20210326	17.0	49.0
20210327	24.0	37.0
20210328	15.0	27.0
20210329	15.0	41.0
20210330	11.0	33.0
20210331	12.0	28.0
