Variable	Std	Mean	ZMin	ZMax
O_U	1.3356996866357134	0.316475652677419	-3.188905680142676	3.538625830052811
O_V	0.7960803464399595	-0.35898364838235275	-5.68475291954587	6.037246956133505
O_Pa	8.0014207025529	1006.6143444022775	-3.5345403589707667	2.6477367439213646
O_ta	10.98074234053483	10.585594372537003	-2.4833410034470256	1.8894629328359651
O_td	12.525016587383332	4.467330270398484	-2.633452023019584	1.656634111806504
O_RH	16.202869338884806	67.44996764707778	-3.123932347316057	2.008905439656069
O_RN_ACC	4.2254257947172	0.705597722960152	-0.16698854914037756	24.09092177273764
O_radiation	0.14107941168886967	0.023244781784629978	-0.16476381285097075	10.467545905791988
O_PM2_5	15.858350267052467	24.893738140417458	-1.4436393291162077	5.429711187454229
O_O3	0.011111832893081142	0.01681821631878558	-1.3245534252004436	4.1920882116773805
O_NO2	0.014311732282693916	0.029373719165085393	-1.5213894960440735	3.74002809566525
O_CO	0.20106594459517052	0.5505444022770398	-1.5121626036134952	4.855897400670067
O_SO2	0.0009171053951035833	0.004496869070208714	-1.850244344072428	5.237272570235825
O_PM10	26.79191397307796	43.15275142314991	-1.4240397853429942	8.392354827758457
f_Ta	11.412234457092136	288.8367716129032	-2.4441341192012636	1.9099562376718568
f_Pa	830.2416891450696	100974.44968251404	-3.0533596850869413	2.471089014571852
f_RH	16.430369246444553	44.93910592979128	-2.1076030252506195	2.738280156420984
f_MH	401.30866286031153	971.7253424478174	-2.072767347006808	4.698423836936953
f_U	2.9310249757165905	3.0973915749525585	-4.257442934924741	2.819078135977779
f_V	3.0293021316769546	-0.2031668311195447	-2.9114801975853215	4.284140791177945
f_RN_ACC	2.9414010972837836	0.6544427609108155	-0.22249354619305614	11.271892592175234
f_850hpa_gpm	52.50681570008294	1217.4268961005698	-2.4129221018514286	1.9502832638786058
f_850hpa_U	5.943639610164516	4.492907125237182	-3.279523726825969	3.235169716864879
f_850hpa_V	5.528044839377614	-1.3110355313092958	-3.454869673387267	4.223411026806702
f_850hpa_RH	23.201387742255612	45.77943039848199	-1.8790871857669105	2.22868865328014
f_850hpa_Ta	10.454027966404132	278.70564541745756	-2.6328899736935667	1.832554365083842
f_925hpa_gpm	28.879919182728514	671.5552465844396	-2.3642613454844392	1.973330432643413
f_925hpa_U	4.944805568816133	3.572777533206832	-4.235496672566055	3.676850831395999
f_925hpa_V	4.969820627910317	-0.6560961100569259	-2.75114635187389	5.447276297663887
f_temp_850_925	1.7691403520932159	-3.4782594212523703	-1.5983754908997947	4.416263193594662
Target	15.284205760470115	25.060721062618597	-1.443367186254109	5.033907560729861
