Variable	Std	Mean	ZMin	ZMax
O_U	1.3356996866357134	0.316475652677419	-3.188905680142676	3.538625830052811
O_V	0.7960803464399595	-0.35898364838235275	-5.68475291954587	6.037246956133505
O_Pa	8.0014207025529	1006.6143444022775	-3.5345403589707667	2.6477367439213646
O_ta	10.98074234053483	10.585594372537003	-2.4833410034470256	1.8894629328359651
O_td	12.525016587383332	4.467330270398484	-2.633452023019584	1.656634111806504
O_RH	16.202869338884806	67.44996764707778	-3.123932347316057	2.008905439656069
O_RN_ACC	4.2254257947172	0.705597722960152	-0.16698854914037756	24.09092177273764
O_radiation	0.14107941168886967	0.023244781784629978	-0.16476381285097075	10.467545905791988
O_PM2_5	15.858350267052467	24.893738140417458	-1.4436393291162077	5.429711187454229
O_O3	0.011111832893081142	0.01681821631878558	-1.3245534252004436	4.1920882116773805
O_NO2	0.014311732282693916	0.029373719165085393	-1.5213894960440735	3.74002809566525
O_CO	0.20106594459517052	0.5505444022770398	-1.5121626036134952	4.855897400670067
O_SO2	0.0009171053951035833	0.004496869070208714	-1.850244344072428	5.237272570235825
O_PM10	26.79191397307796	43.15275142314991	-1.4240397853429942	8.392354827758457
f_Ta	10.300265010433518	283.1150948481969	-2.7004698248075694	1.7524350231298917
f_Pa	816.7527893967942	101115.40564052195	-3.687107236874001	2.5952420205917077
f_RH	19.88343076544034	52.12373989563571	-2.1610490866757677	2.292405704129745
f_MH	182.68635014737146	209.37488330170783	-1.0625258709538061	7.677215432717824
f_U	2.7293223034802203	-0.141768083491461	-3.3119364118273134	5.334939030441622
f_V	3.018755789497203	0.013432201138519909	-2.6052363124240747	3.470101104338168
f_RN_ACC	3.1125283747646004	0.6369312903225812	-0.20463469361006295	11.719015641885054
f_850hpa_gpm	50.72468029254776	1209.594506821632	-2.5930910961494282	1.9187206822606007
f_850hpa_U	5.704305214902409	5.525548216318788	-5.145557103017137	3.947669511941861
f_850hpa_V	5.935436079531041	-1.531904127134726	-3.123677118991087	4.279243140150457
f_850hpa_RH	23.496425956910237	44.18742388994306	-1.7715125681785444	2.3413627336747176
f_850hpa_Ta	10.248678757838167	278.4050451233393	-2.7965102429832474	1.7776774262464814
f_925hpa_gpm	27.80753812340535	665.2024250759009	-2.6335105520996387	1.9220412352545857
f_925hpa_U	5.720605473879119	3.2451483870967763	-4.775322911505158	3.9263136944964994
f_925hpa_V	6.374798485795488	-1.2877914895635663	-2.712300404312911	3.513196776253683
f_temp_850_925	1.3823950310679316	-2.7911256261859543	-2.0663806723952796	4.51024163575684
Target	15.867391624406608	24.919354838709676	-1.4444311567539565	5.42500287374797
