Variable	Std	Mean	ZMin	ZMax
O_U	1.3356996866357134	0.316475652677419	-3.188905680142676	3.538625830052811
O_V	0.7960803464399595	-0.35898364838235275	-5.68475291954587	6.037246956133505
O_Pa	8.0014207025529	1006.6143444022775	-3.5345403589707667	2.6477367439213646
O_ta	10.98074234053483	10.585594372537003	-2.4833410034470256	1.8894629328359651
O_td	12.525016587383332	4.467330270398484	-2.633452023019584	1.656634111806504
O_RH	16.202869338884806	67.44996764707778	-3.123932347316057	2.008905439656069
O_RN_ACC	4.2254257947172	0.705597722960152	-0.16698854914037756	24.09092177273764
O_radiation	0.14107941168886967	0.023244781784629978	-0.16476381285097075	10.467545905791988
O_PM2_5	15.858350267052467	24.893738140417458	-1.4436393291162077	5.429711187454229
O_O3	0.011111832893081142	0.01681821631878558	-1.3245534252004436	4.1920882116773805
O_NO2	0.014311732282693916	0.029373719165085393	-1.5213894960440735	3.74002809566525
O_CO	0.20106594459517052	0.5505444022770398	-1.5121626036134952	4.855897400670067
O_SO2	0.0009171053951035833	0.004496869070208714	-1.850244344072428	5.237272570235825
O_PM10	26.79191397307796	43.15275142314991	-1.4240397853429942	8.392354827758457
f_Ta	10.527820429435776	285.35057477229583	-2.55705014658372	1.9164750541613766
f_Pa	808.0597931289115	101060.81953447797	-3.4237510614967612	2.600831130805628
f_RH	18.742583054121233	52.72946338709676	-2.211942893217209	2.239990426702242
f_MH	192.99948282337044	275.55074690702077	-1.3479207980318964	6.00034842659562
f_U	2.805209532208338	1.3149226091081592	-3.6618985110254663	4.643309970730723
f_V	2.906040938266104	-0.41160230550284577	-2.7148370797571766	3.69956670738352
f_RN_ACC	3.7524366058066945	0.7096298102466796	-0.18911173852972374	11.818099770460938
f_850hpa_gpm	51.50157325938398	1214.2619773814042	-2.4715931829948654	2.0150751918959355
f_850hpa_U	5.926832856680343	4.969151499051236	-4.241704145699874	3.906995365129741
f_850hpa_V	5.822363276409484	-0.9167920398481975	-2.631180370043674	4.194175265358477
f_850hpa_RH	23.325184663022927	44.65418170777988	-1.8077280980597923	2.1693795364646102
f_850hpa_Ta	10.411893670184485	278.788925521822	-2.7143597905491545	1.8408903399642906
f_925hpa_gpm	28.133078674936677	668.5631698671723	-2.49879512581751	2.054001298631701
f_925hpa_U	5.755151057742372	3.5759386242884275	-4.638875392918232	4.096728502719867
f_925hpa_V	5.94427849808683	-1.1659749430740045	-2.7050625340150605	3.4000131302022285
f_temp_850_925	1.4594164559712672	-3.1829699810246663	-1.7568597424570993	4.131295050398808
Target	16.409326059184934	26.07495256166983	-1.4062096443475742	5.297295399263205
