COUNT	LR	STEP	EPOCH	OFFSET	LEAN_COST	VALI_COST	MIN_COST
0	0.090000	33	0	18.0000	0.7301	0.0276	0.0276
0	0.090000	195	5	12.0000	0.7301	0.0276	0.0276
0	0.090000	357	10	6.0000	0.7300	0.0276	0.0276
0	0.090000	519	15	0.0000	0.7300	0.0276	0.0276
0	0.090000	682	20	26.0000	0.7300	0.0276	0.0276
0	0.090000	844	25	20.0000	0.7300	0.0276	0.0276
0	0.090000	1006	30	14.0000	0.7300	0.0276	0.0276
0	0.090000	1168	35	8.0000	0.7300	0.0276	0.0276
0	0.090000	1330	40	2.0000	0.7300	0.0276	0.0276
0	0.090000	1493	45	28.0000	0.7300	0.0276	0.0276
0	0.090000	1655	50	22.0000	0.7300	0.0276	0.0276
0	0.090000	1817	55	16.0000	0.7300	0.0276	0.0276
0	0.090000	1979	60	10.0000	0.7300	0.0276	0.0276
0	0.090000	2141	65	4.0000	0.7300	0.0276	0.0276
0	0.090000	2304	70	30.0000	0.7300	0.0276	0.0276
0	0.090000	2466	75	24.0000	0.7300	0.0276	0.0276
0	0.090000	2628	80	18.0000	0.7300	0.0276	0.0276
0	0.090000	2790	85	12.0000	0.7300	0.0276	0.0276
0	0.090000	2952	90	6.0000	0.7300	0.0276	0.0276
0	0.090000	3114	95	0.0000	0.7300	0.0276	0.0276
0	0.090000	3277	100	26.0000	0.7300	0.0276	0.0276
0	0.090000	3439	105	20.0000	0.7300	0.0276	0.0276
0	0.090000	3601	110	14.0000	0.7300	0.0276	0.0276
0	0.090000	3763	115	8.0000	0.7300	0.0276	0.0276
0	0.090000	3925	120	2.0000	0.7300	0.0276	0.0276
0	0.090000	4088	125	28.0000	0.7300	0.0276	0.0276
0	0.090000	4250	130	22.0000	0.7300	0.0276	0.0276
0	0.090000	4412	135	16.0000	0.7300	0.0276	0.0276
0	0.090000	4574	140	10.0000	0.7300	0.0276	0.0276
0	0.090000	4736	145	4.0000	0.7300	0.0276	0.0276
0	0.090000	4899	150	30.0000	0.7300	0.0276	0.0276
0	0.090000	5061	155	24.0000	0.7300	0.0276	0.0276
0	0.090000	5223	160	18.0000	0.7300	0.0276	0.0276
0	0.090000	5385	165	12.0000	0.7300	0.0276	0.0276
0	0.090000	5547	170	6.0000	0.7300	0.0276	0.0276
0	0.090000	5709	175	0.0000	0.7300	0.0276	0.0276
0	0.090000	5872	180	26.0000	0.7300	0.0276	0.0276
0	0.090000	6034	185	20.0000	0.7300	0.0276	0.0276
0	0.090000	6196	190	14.0000	0.7299	0.0276	0.0276
0	0.090000	6358	195	8.0000	0.7299	0.0276	0.0276
0	0.090000	6520	200	2.0000	0.7299	0.0276	0.0276
0	0.090000	6683	205	28.0000	0.7299	0.0276	0.0276
0	0.090000	6845	210	22.0000	0.7299	0.0276	0.0276
0	0.090000	7007	215	16.0000	0.7299	0.0276	0.0276
0	0.090000	7169	220	10.0000	0.7299	0.0276	0.0276
0	0.090000	7331	225	4.0000	0.7299	0.0276	0.0276
0	0.090000	7494	230	30.0000	0.7299	0.0276	0.0276
0	0.090000	7656	235	24.0000	0.7299	0.0276	0.0276
0	0.090000	7818	240	18.0000	0.7299	0.0276	0.0276
0	0.090000	7980	245	12.0000	0.7299	0.0276	0.0276
0	0.090000	8142	250	6.0000	0.7299	0.0276	0.0276
0	0.090000	8304	255	0.0000	0.7299	0.0276	0.0276
0	0.090000	8467	260	26.0000	0.7299	0.0276	0.0276
0	0.090000	8629	265	20.0000	0.7299	0.0276	0.0276
0	0.090000	8791	270	14.0000	0.7299	0.0276	0.0276
0	0.090000	8953	275	8.0000	0.7299	0.0276	0.0276
0	0.090000	9115	280	2.0000	0.7299	0.0276	0.0276
0	0.090000	9278	285	28.0000	0.7299	0.0276	0.0276
0	0.090000	9440	290	22.0000	0.7299	0.0276	0.0276
0	0.090000	9602	295	16.0000	0.7299	0.0276	0.0276
0	0.090000	9764	300	10.0000	0.7298	0.0276	0.0276
0	0.090000	9926	305	4.0000	0.7298	0.0276	0.0276
0	0.090000	10089	310	30.0000	0.7298	0.0276	0.0276
0	0.090000	10251	315	24.0000	0.7298	0.0276	0.0276
0	0.090000	10413	320	18.0000	0.7298	0.0276	0.0276
0	0.090000	10575	325	12.0000	0.7298	0.0276	0.0276
0	0.090000	10737	330	6.0000	0.7298	0.0276	0.0276
0	0.090000	10899	335	0.0000	0.7298	0.0276	0.0276
0	0.090000	11062	340	26.0000	0.7298	0.0276	0.0276
0	0.090000	11224	345	20.0000	0.7298	0.0276	0.0276
0	0.090000	11386	350	14.0000	0.7298	0.0276	0.0276
0	0.090000	11548	355	8.0000	0.7298	0.0276	0.0276
0	0.090000	11710	360	2.0000	0.7298	0.0276	0.0276
0	0.090000	11873	365	28.0000	0.7297	0.0276	0.0276
0	0.090000	12035	370	22.0000	0.7297	0.0276	0.0276
0	0.090000	12197	375	16.0000	0.7297	0.0276	0.0276
0	0.090000	12359	380	10.0000	0.7297	0.0276	0.0276
0	0.090000	12521	385	4.0000	0.7297	0.0276	0.0276
0	0.090000	12684	390	30.0000	0.7297	0.0275	0.0275
0	0.090000	12846	395	24.0000	0.7297	0.0275	0.0275
0	0.090000	13008	400	18.0000	0.7297	0.0275	0.0275
0	0.090000	13170	405	12.0000	0.7296	0.0275	0.0275
0	0.090000	13332	410	6.0000	0.7296	0.0275	0.0275
0	0.090000	13494	415	0.0000	0.7296	0.0275	0.0275
0	0.090000	13657	420	26.0000	0.7296	0.0275	0.0275
0	0.090000	13819	425	20.0000	0.7296	0.0275	0.0275
0	0.090000	13981	430	14.0000	0.7295	0.0275	0.0275
0	0.090000	14143	435	8.0000	0.7295	0.0275	0.0275
0	0.090000	14305	440	2.0000	0.7295	0.0275	0.0275
0	0.090000	14468	445	28.0000	0.7295	0.0275	0.0275
0	0.090000	14630	450	22.0000	0.7294	0.0275	0.0275
0	0.090000	14792	455	16.0000	0.7294	0.0275	0.0275
0	0.090000	14954	460	10.0000	0.7294	0.0275	0.0275
0	0.090000	15116	465	4.0000	0.7293	0.0275	0.0275
0	0.090000	15279	470	30.0000	0.7293	0.0275	0.0275
0	0.090000	15441	475	24.0000	0.7292	0.0275	0.0275
0	0.090000	15603	480	18.0000	0.7292	0.0275	0.0275
0	0.090000	15765	485	12.0000	0.7291	0.0275	0.0275
0	0.090000	15927	490	6.0000	0.7290	0.0275	0.0275
0	0.090000	16089	495	0.0000	0.7289	0.0275	0.0275
0	0.090000	16252	500	26.0000	0.7289	0.0275	0.0275
0	0.090000	16414	505	20.0000	0.7287	0.0275	0.0275
0	0.090000	16576	510	14.0000	0.7286	0.0275	0.0275
0	0.090000	16738	515	8.0000	0.7285	0.0275	0.0275
0	0.090000	16900	520	2.0000	0.7283	0.0275	0.0275
0	0.090000	17063	525	28.0000	0.7281	0.0275	0.0275
0	0.090000	17225	530	22.0000	0.7279	0.0275	0.0275
0	0.090000	17387	535	16.0000	0.7277	0.0275	0.0275
0	0.090000	17549	540	10.0000	0.7273	0.0274	0.0274
0	0.090000	17711	545	4.0000	0.7269	0.0274	0.0274
0	0.090000	17874	550	30.0000	0.7264	0.0274	0.0274
0	0.090000	18036	555	24.0000	0.7257	0.0274	0.0274
0	0.090000	18198	560	18.0000	0.7249	0.0273	0.0273
0	0.090000	18360	565	12.0000	0.7237	0.0273	0.0273
0	0.090000	18522	570	6.0000	0.7220	0.0272	0.0272
0	0.090000	18684	575	0.0000	0.7196	0.0271	0.0271
0	0.090000	18847	580	26.0000	0.7158	0.0269	0.0269
0	0.090000	19009	585	20.0000	0.7096	0.0266	0.0266
0	0.090000	19171	590	14.0000	0.6988	0.0261	0.0261
0	0.090000	19333	595	8.0000	0.6796	0.0252	0.0252
0	0.090000	19495	600	2.0000	0.6498	0.0237	0.0237
0	0.090000	19658	605	28.0000	0.6162	0.0220	0.0220
0	0.090000	19820	610	22.0000	0.5777	0.0204	0.0204
0	0.090000	19982	615	16.0000	0.5285	0.0188	0.0188
0	0.090000	20144	620	10.0000	0.4854	0.0173	0.0173
0	0.090000	20306	625	4.0000	0.4533	0.0160	0.0160
0	0.090000	20469	630	30.0000	0.4307	0.0150	0.0150
0	0.090000	20631	635	24.0000	0.4170	0.0142	0.0142
0	0.090000	20793	640	18.0000	0.4091	0.0136	0.0136
0	0.090000	20955	645	12.0000	0.4044	0.0133	0.0133
0	0.090000	21117	650	6.0000	0.4012	0.0131	0.0131
0	0.090000	21279	655	0.0000	0.3989	0.0130	0.0130
0	0.090000	21442	660	26.0000	0.3971	0.0130	0.0130
0	0.090000	21604	665	20.0000	0.3957	0.0129	0.0129
0	0.090000	21766	670	14.0000	0.3946	0.0129	0.0129
0	0.090000	21928	675	8.0000	0.3937	0.0129	0.0129
0	0.090000	22090	680	2.0000	0.3930	0.0130	0.0129
0	0.090000	22253	685	28.0000	0.3924	0.0130	0.0129
0	0.090000	22415	690	22.0000	0.3918	0.0130	0.0129
0	0.090000	22577	695	16.0000	0.3913	0.0130	0.0129
0	0.090000	22739	700	10.0000	0.3909	0.0130	0.0129
0	0.090000	22901	705	4.0000	0.3905	0.0130	0.0129
0	0.090000	23064	710	30.0000	0.3901	0.0131	0.0129
0	0.090000	23226	715	24.0000	0.3897	0.0131	0.0129
0	0.090000	23388	720	18.0000	0.3893	0.0131	0.0129
0	0.090000	23550	725	12.0000	0.3889	0.0131	0.0129
0	0.090000	23712	730	6.0000	0.3886	0.0131	0.0129
0	0.090000	23874	735	0.0000	0.3882	0.0131	0.0129
0	0.090000	24037	740	26.0000	0.3878	0.0131	0.0129
0	0.090000	24199	745	20.0000	0.3875	0.0131	0.0129
0	0.090000	24361	750	14.0000	0.3871	0.0131	0.0129
0	0.090000	24523	755	8.0000	0.3867	0.0132	0.0129
0	0.090000	24685	760	2.0000	0.3863	0.0132	0.0129
0	0.090000	24848	765	28.0000	0.3859	0.0132	0.0129
0	0.090000	25010	770	22.0000	0.3855	0.0132	0.0129
0	0.090000	25172	775	16.0000	0.3850	0.0132	0.0129
0	0.090000	25334	780	10.0000	0.3846	0.0132	0.0129
0	0.090000	25496	785	4.0000	0.3841	0.0132	0.0129
0	0.090000	25659	790	30.0000	0.3836	0.0132	0.0129
0	0.090000	25821	795	24.0000	0.3831	0.0132	0.0129
0	0.090000	25983	800	18.0000	0.3826	0.0132	0.0129
0	0.090000	26145	805	12.0000	0.3821	0.0132	0.0129
0	0.090000	26307	810	6.0000	0.3815	0.0132	0.0129
0	0.090000	26469	815	0.0000	0.3810	0.0132	0.0129
0	0.090000	26632	820	26.0000	0.3804	0.0132	0.0129
0	0.090000	26794	825	20.0000	0.3797	0.0132	0.0129
0	0.090000	26956	830	14.0000	0.3791	0.0132	0.0129
0	0.090000	27118	835	8.0000	0.3784	0.0132	0.0129
0	0.090000	27280	840	2.0000	0.3777	0.0132	0.0129
0	0.090000	27443	845	28.0000	0.3770	0.0132	0.0129
0	0.090000	27605	850	22.0000	0.3763	0.0132	0.0129
0	0.090000	27767	855	16.0000	0.3755	0.0132	0.0129
0	0.090000	27929	860	10.0000	0.3747	0.0132	0.0129
0	0.090000	28091	865	4.0000	0.3739	0.0132	0.0129
0	0.090000	28254	870	30.0000	0.3731	0.0132	0.0129
0	0.090000	28416	875	24.0000	0.3723	0.0133	0.0129
0	0.090000	28578	880	18.0000	0.3714	0.0133	0.0129
0	0.090000	28740	885	12.0000	0.3706	0.0133	0.0129
0	0.090000	28902	890	6.0000	0.3697	0.0133	0.0129
0	0.090000	29064	895	0.0000	0.3688	0.0133	0.0129
0	0.090000	29227	900	26.0000	0.3679	0.0133	0.0129
0	0.090000	29389	905	20.0000	0.3670	0.0133	0.0129
0	0.090000	29551	910	14.0000	0.3661	0.0133	0.0129
0	0.090000	29713	915	8.0000	0.3652	0.0133	0.0129
0	0.090000	29875	920	2.0000	0.3643	0.0133	0.0129
1	0.009000	33	0	18.0000	0.3937	0.0130	0.0130
1	0.009000	195	5	12.0000	0.3935	0.0130	0.0130
1	0.009000	357	10	6.0000	0.3934	0.0130	0.0130
1	0.009000	519	15	0.0000	0.3933	0.0130	0.0130
1	0.009000	682	20	26.0000	0.3932	0.0130	0.0130
1	0.009000	844	25	20.0000	0.3931	0.0130	0.0130
1	0.009000	1006	30	14.0000	0.3930	0.0130	0.0130
1	0.009000	1168	35	8.0000	0.3929	0.0131	0.0130
1	0.009000	1330	40	2.0000	0.3928	0.0131	0.0130
1	0.009000	1493	45	28.0000	0.3927	0.0131	0.0130
1	0.009000	1655	50	22.0000	0.3927	0.0131	0.0130
1	0.009000	1817	55	16.0000	0.3926	0.0131	0.0130
1	0.009000	1979	60	10.0000	0.3925	0.0131	0.0130
1	0.009000	2141	65	4.0000	0.3924	0.0131	0.0130
1	0.009000	2304	70	30.0000	0.3923	0.0131	0.0130
1	0.009000	2466	75	24.0000	0.3922	0.0131	0.0130
1	0.009000	2628	80	18.0000	0.3922	0.0131	0.0130
1	0.009000	2790	85	12.0000	0.3921	0.0131	0.0130
1	0.009000	2952	90	6.0000	0.3920	0.0131	0.0130
1	0.009000	3114	95	0.0000	0.3919	0.0131	0.0130
1	0.009000	3277	100	26.0000	0.3919	0.0131	0.0130
1	0.009000	3439	105	20.0000	0.3918	0.0131	0.0130
1	0.009000	3601	110	14.0000	0.3917	0.0131	0.0130
1	0.009000	3763	115	8.0000	0.3917	0.0131	0.0130
1	0.009000	3925	120	2.0000	0.3916	0.0131	0.0130
1	0.009000	4088	125	28.0000	0.3915	0.0131	0.0130
1	0.009000	4250	130	22.0000	0.3915	0.0131	0.0130
1	0.009000	4412	135	16.0000	0.3914	0.0131	0.0130
1	0.009000	4574	140	10.0000	0.3914	0.0131	0.0130
1	0.009000	4736	145	4.0000	0.3913	0.0131	0.0130
1	0.009000	4899	150	30.0000	0.3912	0.0131	0.0130
1	0.009000	5061	155	24.0000	0.3912	0.0131	0.0130
1	0.009000	5223	160	18.0000	0.3911	0.0131	0.0130
1	0.009000	5385	165	12.0000	0.3911	0.0131	0.0130
1	0.009000	5547	170	6.0000	0.3910	0.0131	0.0130
1	0.009000	5709	175	0.0000	0.3909	0.0131	0.0130
1	0.009000	5872	180	26.0000	0.3909	0.0131	0.0130
1	0.009000	6034	185	20.0000	0.3908	0.0131	0.0130
1	0.009000	6196	190	14.0000	0.3908	0.0131	0.0130
1	0.009000	6358	195	8.0000	0.3907	0.0131	0.0130
1	0.009000	6520	200	2.0000	0.3907	0.0131	0.0130
1	0.009000	6683	205	28.0000	0.3906	0.0131	0.0130
1	0.009000	6845	210	22.0000	0.3906	0.0131	0.0130
1	0.009000	7007	215	16.0000	0.3905	0.0131	0.0130
1	0.009000	7169	220	10.0000	0.3905	0.0131	0.0130
1	0.009000	7331	225	4.0000	0.3904	0.0131	0.0130
1	0.009000	7494	230	30.0000	0.3904	0.0132	0.0130
1	0.009000	7656	235	24.0000	0.3903	0.0132	0.0130
1	0.009000	7818	240	18.0000	0.3903	0.0132	0.0130
1	0.009000	7980	245	12.0000	0.3902	0.0132	0.0130
1	0.009000	8142	250	6.0000	0.3902	0.0132	0.0130
1	0.009000	8304	255	0.0000	0.3901	0.0132	0.0130
1	0.009000	8467	260	26.0000	0.3901	0.0132	0.0130
1	0.009000	8629	265	20.0000	0.3900	0.0132	0.0130
1	0.009000	8791	270	14.0000	0.3900	0.0132	0.0130
1	0.009000	8953	275	8.0000	0.3899	0.0132	0.0130
1	0.009000	9115	280	2.0000	0.3899	0.0132	0.0130
1	0.009000	9278	285	28.0000	0.3898	0.0132	0.0130
1	0.009000	9440	290	22.0000	0.3898	0.0132	0.0130
1	0.009000	9602	295	16.0000	0.3898	0.0132	0.0130
1	0.009000	9764	300	10.0000	0.3897	0.0132	0.0130
1	0.009000	9926	305	4.0000	0.3897	0.0132	0.0130
1	0.009000	10089	310	30.0000	0.3896	0.0132	0.0130
1	0.009000	10251	315	24.0000	0.3896	0.0132	0.0130
1	0.009000	10413	320	18.0000	0.3895	0.0132	0.0130
1	0.009000	10575	325	12.0000	0.3895	0.0132	0.0130
1	0.009000	10737	330	6.0000	0.3895	0.0132	0.0130
1	0.009000	10899	335	0.0000	0.3894	0.0132	0.0130
1	0.009000	11062	340	26.0000	0.3894	0.0132	0.0130
1	0.009000	11224	345	20.0000	0.3893	0.0132	0.0130
1	0.009000	11386	350	14.0000	0.3893	0.0132	0.0130
1	0.009000	11548	355	8.0000	0.3893	0.0132	0.0130
1	0.009000	11710	360	2.0000	0.3892	0.0132	0.0130
1	0.009000	11873	365	28.0000	0.3892	0.0132	0.0130
1	0.009000	12035	370	22.0000	0.3891	0.0132	0.0130
1	0.009000	12197	375	16.0000	0.3891	0.0132	0.0130
1	0.009000	12359	380	10.0000	0.3890	0.0132	0.0130
1	0.009000	12521	385	4.0000	0.3890	0.0132	0.0130
1	0.009000	12684	390	30.0000	0.3890	0.0132	0.0130
1	0.009000	12846	395	24.0000	0.3889	0.0132	0.0130
1	0.009000	13008	400	18.0000	0.3889	0.0132	0.0130
1	0.009000	13170	405	12.0000	0.3889	0.0132	0.0130
1	0.009000	13332	410	6.0000	0.3888	0.0132	0.0130
1	0.009000	13494	415	0.0000	0.3888	0.0132	0.0130
1	0.009000	13657	420	26.0000	0.3887	0.0132	0.0130
1	0.009000	13819	425	20.0000	0.3887	0.0132	0.0130
1	0.009000	13981	430	14.0000	0.3887	0.0132	0.0130
1	0.009000	14143	435	8.0000	0.3886	0.0132	0.0130
1	0.009000	14305	440	2.0000	0.3886	0.0132	0.0130
1	0.009000	14468	445	28.0000	0.3885	0.0132	0.0130
1	0.009000	14630	450	22.0000	0.3885	0.0133	0.0130
1	0.009000	14792	455	16.0000	0.3885	0.0133	0.0130
1	0.009000	14954	460	10.0000	0.3884	0.0133	0.0130
1	0.009000	15116	465	4.0000	0.3884	0.0133	0.0130
1	0.009000	15279	470	30.0000	0.3883	0.0133	0.0130
1	0.009000	15441	475	24.0000	0.3883	0.0133	0.0130
1	0.009000	15603	480	18.0000	0.3883	0.0133	0.0130
1	0.009000	15765	485	12.0000	0.3882	0.0133	0.0130
1	0.009000	15927	490	6.0000	0.3882	0.0133	0.0130
1	0.009000	16089	495	0.0000	0.3882	0.0133	0.0130
1	0.009000	16252	500	26.0000	0.3881	0.0133	0.0130
