Variable	Std	Mean	ZMin	ZMax
O_U	1.3328599689654275	0.31944050936467194	-3.197924218305661	3.543940598127342
O_V	0.7959802115272213	-0.35983342540645746	-5.684400480147873	6.0390740319831
O_Pa	8.003562267425554	1006.6093247863251	-3.5329674264432875	2.647655444616295
O_ta	10.985894455704768	10.584425263042736	-2.482069958252976	1.8886832401873992
O_td	12.529676495326921	4.461791172839507	-2.6320305384691447	1.6564600718064237
O_RH	16.191399115028624	67.42570360875591	-3.12464681089831	2.0118271534057297
O_RN_ACC	4.2242779726063935	0.7005698005698008	-0.16584367911223108	24.098658009624216
O_radiation	0.141144627544923	0.0232668566011396	-0.16484408231361347	10.46255297906292
O_PM2_5	15.86401721508865	24.901234567901234	-1.4435961747519612	5.427299041897669
O_O3	0.011117071679634521	0.01681728395061728	-1.32384537715791	4.190196608583363
O_NO2	0.014317677490906828	0.029378537511870847	-1.521094292401992	3.738138571854317
O_CO	0.20112974562235192	0.5506544159544161	-1.512229904200778	4.853810066854138
O_SO2	0.0009175210825761333	0.00449705603038935	-1.8496098483366818	5.234696031316658
O_PM10	26.80001361768367	43.168091168091166	-1.424181782613215	8.389246066783942
f_PM2_5	18.917662560438295	23.120532231718915	-1.1012424058818948	7.973899908952926
f_Ta	11.423494071553293	288.79085359924	-2.452593175411029	2.019829157019263
f_Pa	859.8138845457902	101044.18571359912	-2.9272241921618734	2.4859309960201617
f_RH	17.354340159857824	46.19255010446343	-2.187988120245219	2.4373182446530484
f_MH	456.582102089515	962.0372339031338	-1.903273168015601	3.7661591600446456
f_U	3.09530977493828	2.903371253561253	-4.794951824767586	2.989668052407863
f_V	3.0765173988724914	-0.2555967901234568	-3.0971003815445837	3.8927479475697306
f_RN_ACC	3.1704026397800154	0.6718168945868946	-0.211902704772385	13.659836943744804
f_850hpa_gpm	52.283955639569186	1217.8736616239296	-2.403314555810549	2.0230659115627287
f_850hpa_U	6.412895327848315	4.555148195631535	-3.1448272838718254	3.127096386133748
f_850hpa_V	5.616151062987517	-1.3140041690408368	-3.628340050404456	3.4657639993548903
f_850hpa_RH	22.89638511073215	46.34456793922129	-1.9633709741434293	2.1115705307610773
f_850hpa_Ta	10.384207298801972	278.7463550807216	-2.49083481641451	1.9262620962493762
f_925hpa_gpm	28.832815971288547	671.693931642925	-2.394216080443421	2.0694089823377197
f_925hpa_U	5.263021810541126	3.5238725166191776	-4.28904027557094	3.8045552924132906
f_925hpa_V	5.088122003952743	-0.7946008167141494	-4.242364700869373	3.880251063432935
f_temp_850_925	1.6671810197846166	-3.5471477018043664	-1.7528644241482378	4.200088423936709
Target	15.295956432623514	25.048433048433047	-1.4414550110385853	5.03084375864481
