Date	Target	AI	CMAQ
20210101	13.5	25.5	30.75
20210102	22.0	22.5	29.75
20210103	14.75	20.75	16.25
20210104	13.25	18.75	19.75
20210105	10.75	12.0	12.75
20210106	10.0	11.75	15.25
20210107	14.5	14.0	19.25
20210108	22.0	25.0	24.5
20210109	31.75	31.75	31.25
20210110	46.5	33.75	32.75
20210111	45.5	40.75	43.75
20210112	29.0	32.5	22.5
20210113	33.75	47.0	55.25
20210114	34.75	17.0	16.0
20210115	12.75	21.5	28.0
20210116	17.25	24.0	25.0
20210117	15.25	18.75	14.25
20210118	25.25	30.5	36.0
20210119	30.0	34.75	30.0
20210120	30.75	37.5	31.75
20210121	8.5	14.75	8.0
20210122	9.25	25.75	12.75
20210123	16.5	29.0	18.0
20210124	28.0	25.75	20.25
20210125	18.25	17.5	15.25
20210126	15.5	16.25	18.25
20210127	9.75	9.25	10.5
20210128	23.0	36.75	70.75
20210129	27.0	33.5	43.0
20210130	37.25	41.5	42.0
20210131	16.5	12.0	12.0
20210201	18.75	17.5	28.75
20210202	14.5	14.5	18.75
20210203	15.75	29.0	17.75
20210204	42.0	36.5	32.5
20210205	53.25	30.5	27.5
20210206	15.75	15.25	17.75
20210207	14.25	28.5	38.5
20210208	23.0	33.75	44.25
20210209	50.0	51.5	73.25
20210210	64.75	56.5	97.25
20210211	70.25	49.0	67.5
20210212	70.5	54.75	79.75
20210213	37.0	32.0	28.25
20210214	12.5	13.25	14.75
20210215	10.75	10.75	9.0
20210216	14.0	14.75	13.5
20210217	23.5	31.75	52.25
20210218	38.5	41.5	63.25
20210219	43.5	40.25	41.75
20210220	27.25	27.0	25.75
20210221	14.5	11.5	10.25
20210222	21.25	16.75	18.0
20210223	31.5	26.25	31.25
20210224	20.75	21.75	16.5
20210225	9.5	17.5	10.5
20210226	13.25	24.0	14.5
20210227	9.75	17.0	6.5
20210228	6.0	9.75	5.75
20210301	22.75	14.75	16.25
20210302	26.75	26.5	23.75
20210303	22.75	40.75	26.0
20210304	17.5	20.75	17.25
20210305	13.75	16.75	12.5
20210306	26.25	38.5	43.0
20210307	29.75	39.75	55.75
20210308	66.0	50.75	68.0
20210309	88.5	44.25	43.75
20210310	46.75	57.0	73.0
20210311	35.5	44.5	39.5
20210312	58.0	52.0	62.25
20210313	61.75	49.75	76.5
20210314	16.25	21.75	12.0
20210315	18.0	36.0	16.75
20210316	41.0	32.75	33.25
20210317	28.0	22.25	18.0
20210318	13.0	23.75	9.25
20210319	32.0	22.5	21.25
20210320	15.75	17.75	18.75
20210321	29.75	39.0	53.0
20210322	26.75	37.75	39.0
20210323	32.5	44.0	39.0
20210324	68.5	48.75	55.25
20210325	33.75	35.5	37.25
20210326	13.75	31.5	13.5
20210327	49.75	20.0	14.75
20210328	27.25	24.25	18.0
20210329	17.75	29.5	36.75
20210330	13.5	18.75	17.5
20210331	13.5	20.5	13.75
